== Parameters ==
2016_6: -3.48493, -4.00606, -2.80941, -2.92349, -3.66476, -1.96418, -4.2109, -3.87977, -3.3618, -3.79599, -2.8337, -6.49503, -3.29972, -3.01742, -2.47882, -3.98428, -4.06562, -3.04278, -4.3766, -3.03977, -4.46544, -3.85648, -4.44641, -3.51466, -3.71085, -3.70575, -2.0581, -3.80315, -2.77475, -3.45833, -3.97132, -3.50408, -3.82189, -2.9402, -3.23164, -4.05557, -3.63318, -2.76536, -3.67116, -2.65309, 
2006_5: -3.90086, -3.33101, -3.14299, -2.56133, -6.34419, -2.51306, -3.39697, -3.06647, -3.32215, -3.60538, -5.47924, -3.22323, -21.4286, -3.2245, -2.48036, -4.31654, -4.03993, -3.51461, -3.00097, -3.65634, -3.83725, -3.93349, -3.63835, -3.16075, -3.89402, -5.21122, -2.79489, -3.26461, -3.74694, -4.15012, -5.39212, -4.03755, -3.95428, -3.07697, -2.5631, -4.14311, -3.69789, -4.34669, -3.69367, -2.5533, 
2006_7: -3.58987, -4.22773, -2.88828, -2.7135, -3.73045, -1.97895, -3.76739, -3.95025, -3.70086, -3.58684, -4.6106, -4.76849, -4.23294, -3.13682, -2.45894, -4.53631, -5.12228, -3.3401, -4.06498, -3.84814, -4.41837, -3.60619, -4.60824, -2.92512, -5.50487, -4.58804, -2.41621, -3.60332, -3.08149, -3.8818, -3.69919, -3.16407, -5.44942, -2.92155, -2.91632, -3.20009, -3.40923, -3.62739, -4.25214, -3.25529, 
2010_6: -3.89374, -3.96474, -3.09563, -2.84188, -3.71541, -5.3265, -4.0266, -3.2707, -3.50526, -4.562, -3.55292, -4.25766, -4.44429, -3.78991, -2.38455, -6.54063, -3.71101, -3.18534, -3.49668, -3.35352, -4.85306, -3.40085, -4.14212, -3.27078, -4.97296, -4.61481, -2.69399, -3.66877, -3.03238, -3.79406, -3.62812, -3.4942, -4.14951, -2.98467, -3.02312, -3.83883, -3.42128, -2.95415, -4.22753, -2.991, 
2012_3: -3.9134, -3.09228, -3.27163, -2.51735, -3.31319, -2.56924, -3.29209, -3.01115, -3.28473, -3.60228, -3.88148, -2.75046, -3.23138, -4.24135, -3.38947, -4.59481, -3.55403, -2.87021, -3.01689, -3.0448, -3.90833, -3.54364, -3.16037, -3.08881, -4.02058, -4.34696, -2.3667, -3.24575, -4.13277, -3.81104, -3.70795, -3.99207, -4.51371, -3.05366, -2.84069, -5.32937, -3.95891, -3.17691, -3.71233, -2.57295, 
2013_4: -4.0792, -3.56065, -4.0203, -2.84359, -3.44953, -2.1051, -4.00054, -3.06461, -3.61468, -3.54223, -3.27408, -3.81736, -3.25353, -3.60066, -2.2929, -4.49447, -3.88509, -3.45444, -3.18357, -3.09914, -4.09819, -4.11401, -4.10561, -3.26062, -4.85101, -3.67401, -2.47283, -3.30205, -2.91587, -3.88616, -4.76752, -4.36362, -4.01958, -3.05913, -2.92457, -3.66862, -3.57461, -3.23775, -4.05314, -2.48238, 
2012_4: -4.17357, -4.54092, -3.63207, -2.55486, -3.35304, -1.95855, -3.5254, -3.06374, -2.91963, -3.37309, -3.18468, -3.13102, -3.26629, -4.10947, -2.43547, -3.945, -3.85839, -2.86026, -2.93859, -3.26922, -3.79502, -3.94469, -3.83813, -3.20404, -3.84294, -4.26364, -2.4295, -3.17158, -3.12659, -4.43915, -3.70152, -6.31576, -4.36666, -4.19929, -2.80615, -3.85977, -3.54217, -3.05171, -4.49916, -3.26983, 
1998_8: -2.796, -4.86203, -1.8086, -2.26848, -3.76896, -1.63916, -3.4605, -3.73822, -6.73154, -3.65929, -3.67316, -3.8317, -3.65974, -3.87251, -1.67242, -3.84677, -6.02097, -3.1469, -3.4673, -3.70933, -3.63598, -3.22939, -3.46614, -2.64722, -3.39843, -5.83534, -2.51823, -2.9171, -5.92387, -4.25272, -3.80356, -2.35766, -5.32711, -2.67293, -4.03365, -3.87247, -3.07051, -3.70928, -3.27987, -3.10299, 
1997_7: -3.06507, -3.66686, -2.23402, -2.2471, -3.82629, -1.49864, -2.9399, -2.77557, -3.23344, -3.24581, -3.67946, -2.86688, -3.47441, -3.93066, -2.10024, -3.61999, -4.68926, -2.68861, -3.45655, -3.69688, -3.84324, -3.41823, -3.16603, -4.88696, -3.31681, -3.64925, -3.22301, -2.67562, -2.85942, -3.08327, -3.44405, -3.41054, -3.63837, -3.33597, -3.41557, -3.45619, -3.24275, -2.61105, -3.67745, -2.56339, 
2002_6: -3.4014, -3.55611, -3.16972, -2.1395, -3.18002, -2.17623, -3.15508, -3.5507, -3.28904, -3.47777, -4.07566, -3.3255, -4.71312, -11.9648, -2.17156, -3.68506, -3.64074, -3.40604, -2.48259, -3.19448, -3.04327, -3.4786, -3.29903, -2.94071, -3.35934, -6.15751, -2.30023, -3.03084, -3.91662, -3.25534, -2.90836, -3.53783, -4.1514, -3.87157, -3.90022, -3.77645, -2.95294, -3.52384, -3.23368, -2.56674, 
2007_7: -3.48453, -5.15788, -3.2685, -2.48143, -4.16693, -2.11695, -3.96545, -3.53961, -3.63374, -3.49918, -3.85083, -4.61431, -4.16348, -3.11002, -2.66095, -4.98435, -4.35859, -3.11736, -3.74343, -3.69228, -3.92011, -3.71419, -5.10074, -3.2359, -4.58529, -4.46854, -2.53129, -3.33244, -3.59256, -4.12255, -4.12414, -3.50816, -4.04588, -3.11971, -3.15949, -3.58816, -3.78429, -3.41685, -3.79055, -3.54678, 
