== Parameters ==
2004_2: -7.60774, -2.10491, -2.97447, -2.67261, -1.36934, -1.87186, -2.79572, -1.53181, -2.19724, -1.11532, -2.56474, -1.16568, -2.29044, -2.43798, -1.37351, -1.82814, -3.67922, -2.59686, -4.90125, -2.7494, -1.62415, -1.75266, -1.67096, -1.5175, -1.35985, -2.74759, -6.49413, -2.29883, -3.09951, -2.82337, 
2009_4: -3.83048, -3.11968, -2.93509, -3.51929, -2.55225, -2.03898, -3.25751, -2.39074, -5.38311, -0.674692, -3.39618, -3.47092, -3.62394, -2.79752, -1.09871, -2.389, -3.3875, -3.57459, -4.00926, -3.35567, -2.22718, -2.76572, -1.91162, -5.65363, -1.39039, -2.97487, -2.4843, -3.62285, -3.10606, -4.05037, 
2008_0: -3.6946, -3.26677, -3.04197, -3.65401, -2.17034, -0.71769, -4.24715, -2.73831, -3.08916, -0.841298, -4.55814, -3.19776, -3.29431, -3.70136, -1.77112, -3.08607, -2.28354, -2.56227, -5.31095, -4.05589, -1.90722, -2.00211, -2.86979, -3.12985, -0.951789, -3.4148, -2.74764, -2.88436, -3.48677, -3.34287, 
2015_0: -2.18039, -4.32704, -5.77252, -3.28436, -2.18544, -2.71294, -2.48159, -4.43603, -2.48029, -1.88554, -3.30681, -5.64331, -2.65212, -3.13012, -4.46304, -3.05732, -2.21041, -2.31218, -3.11654, -2.91005, -2.24861, -2.2013, -2.15006, -2.61071, -1.62947, -3.47717, -2.5747, -2.30487, -6.30048, -2.27172, 
2012_7: -5.01374, -3.27733, -2.57797, -4.65481, -3.76802, -2.14552, -4.52432, -3.52734, -2.68113, -1.22949, -3.65988, -3.64985, -2.86497, -2.77437, 0.303357, -3.38759, -2.44086, -2.9454, -4.01631, -2.72556, -2.18898, -6.26437, -2.69946, -11.4536, -1.51742, -3.63312, -2.93484, -2.70723, -3.01965, -2.85235, 
2009_6: -3.63054, -2.84868, -4.17157, -3.05021, -2.44395, -2.17177, -3.78882, -3.36004, -2.20018, -0.638578, -3.45046, -2.6503, -4.12297, -2.47088, -1.26138, -5.31916, -3.27944, -2.80442, -3.42202, -3.00159, -1.36854, -3.51156, -1.78591, -2.81365, -1.20408, -3.59646, -5.49931, -3.07248, -3.1937, -4.02372, 
2015_3: -2.90225, -4.55274, -1.81868, -3.30148, -2.65195, -3.33866, -3.05093, -3.87772, -2.72299, -0.998859, -3.38826, -3.76868, -3.46709, -3.81685, -2.04343, -4.67514, -2.51207, -2.74518, -3.14347, -3.01188, -2.06146, -2.10058, -2.01986, -1.96524, -1.34385, -3.34548, -2.49447, -2.28358, -2.95502, -2.14232, 
2014_6: -2.44873, -4.26871, -2.21907, -3.85885, -2.45981, -1.99809, -3.31316, -3.86693, -2.15258, -0.450813, -3.86231, -4.39537, -4.07331, -2.71671, -0.485991, -3.52249, -2.86576, -2.30412, -3.16184, -3.16818, -2.05188, -2.06954, -2.19241, -3.39308, -1.89462, -2.99246, -2.09708, -4.47204, -3.04285, -1.96191, 
2014_4: -3.3696, -2.76967, -2.0174, -4.05976, -2.44102, -2.15331, -3.34433, -3.40095, -2.96934, -1.0987, -3.12464, -3.13409, -3.0169, -3.47817, -1.41868, -3.51565, -2.76861, -1.92376, -3.21977, -2.70561, -2.52118, -2.41899, -2.05525, -3.33401, -0.352489, -3.41515, -2.2768, -2.17009, -4.26701, -2.62837, 
2003_7: -2.98524, -2.48512, -2.5005, -3.01786, -2.3495, -1.94342, -7.56212, -2.37535, -1.88977, -2.17531, -5.05009, -2.53885, -2.01033, -2.16134, -0.259574, -1.74221, -2.22561, -2.38028, -2.32708, -2.70565, -2.23903, -2.1412, -1.98363, -1.99761, -1.99643, -3.10939, -2.02735, -3.19657, -3.01569, -5.47499, 
2016_8: -3.39674, -4.18545, -2.17045, -3.73831, -2.76203, -4.28661, -2.39371, -4.33642, -2.21773, -0.487718, -3.32944, -4.70817, -3.26867, -4.11547, -0.731627, -3.85439, -2.25036, -2.79674, -3.62027, -2.83716, -2.80435, -3.47216, -2.00478, -2.43043, -1.99238, -2.54043, -1.82589, -3.36764, -4.09622, -1.89329, 
2012_8: -2.92464, -3.36777, -2.26713, -4.2794, -2.81066, -2.79831, -3.9211, -3.9364, -10.7192, 0.18705, -5.75313, -5.13906, -3.49884, -4.91649, -1.2284, -3.69388, -2.87227, -3.01529, -3.65777, -3.55913, -3.09925, -3.46775, -3.03457, -2.42192, -1.50083, -3.37421, -2.19627, -3.06724, -2.89992, -2.85676, 
2015_5: -3.54325, -4.00151, -2.05561, -3.35136, -2.03571, -1.92045, -3.25159, -3.91398, -1.73753, -1.31559, -5.4111, -3.41905, -3.37878, -4.5448, -0.262069, -2.59135, -2.14451, -2.83521, -4.33792, -2.90423, -2.36457, -2.55495, -1.82317, -3.74539, -1.81366, -2.48006, -2.00677, -1.81556, -2.77771, -5.38067, 
2014_5: -3.07107, -3.55755, -2.35984, -4.12881, -2.19824, -3.94227, -3.14015, -3.66331, -2.57338, -0.954151, -3.42302, -3.97203, -3.31379, -3.44093, -0.879813, -3.48276, -2.27052, -3.74541, -3.99099, -2.98132, -2.33757, -2.18616, -2.37858, -2.72594, -1.34908, -3.57058, -2.55898, -3.43176, -3.36464, -2.80038, 
2010_7: -4.29504, -3.89321, -3.16589, -4.0619, -2.4756, -1.97635, -3.76673, -3.26905, -2.32978, -1.3839, -3.40768, -3.86786, -4.09179, -3.73656, -0.255052, -2.59276, -3.00878, -3.43158, -3.89001, -4.41636, -2.1619, -5.12488, -3.03059, -3.52693, -1.06774, -4.20138, -2.20846, -2.89721, -3.92815, -3.75817, 
2010_1: -4.90763, -3.1315, -3.47174, -4.31894, -2.64284, -2.2706, -3.34534, -2.56499, -2.98556, -1.62547, -3.96288, -4.1347, -3.4593, -3.23631, -0.870616, -2.71458, -3.88481, -2.99051, -3.28145, -3.47969, -1.93779, -1.68904, -2.10755, -2.50328, 0.46992, -3.29684, -2.86046, -3.16566, -6.67927, -3.60849, 
2012_4: -3.07523, -3.09682, -2.53659, -3.62792, -2.48012, -2.62949, -3.67481, -5.63815, -3.05282, -1.20305, -3.91117, -4.25536, -2.63724, -3.53428, -1.17129, -2.72973, -3.57157, -3.95159, -3.83973, -3.74761, -2.36672, -3.8266, -2.43159, -2.89587, -1.50156, -3.5395, -2.4769, -4.29969, -3.00996, -2.94896, 
2008_2: -3.96824, -2.7702, -2.66116, -3.29518, -3.45316, -2.44942, -2.27873, -2.60057, -2.91741, -1.5324, -3.30234, -2.98271, -3.17626, -4.61404, -1.32596, -1.78054, -3.22603, -2.72632, -3.39751, -3.28585, -1.61272, -2.862, -2.84891, -2.43248, -1.46985, -3.53369, -2.3361, -2.82179, -2.95555, -3.73416, 
2007_0: -3.11907, -2.96167, -3.96674, -3.48419, -2.21886, -2.51429, -3.23311, -3.44026, -2.64947, -1.51802, -3.5287, -2.64603, -3.54449, -2.65186, -2.05232, -4.28809, -3.39684, -2.33029, -2.97784, -2.88648, -3.56243, -3.17855, -2.51409, -6.62425, 0.0428634, -5.00818, -3.1458, -3.41256, -3.23615, -3.97978, 
